50;4;Problema resolvido com rapidez.
49;2;Voltou a funcionar, mas instável.
48;5;Excelente atendimento.
47;3;Problema resolvido, mas levou tempo.
46;1;Nada foi feito ainda.
45;4;Resolveram bem.
44;2;Ainda apresenta falhas.
43;5;Muito eficiente.
42;1;Ainda não resolveu totalmente.
41;4;Foi ágil.
40;3;Resolveu, mas não explicou bem.
39;4;Atendimento satisfatório.
38;5;Muito bom.
37;2;Resolveram parcialmente.
36;3;Voltarei a reportar se persistir.
35;5;Funcionando bem agora.
34;4;Tudo certo.
33;2;Demorou muito.
32;5;Excelente suporte.
31;1;Sem resposta até agora.
30;3;Foi resolvido, mas sem feedback.
29;2;Tentaram, mas não resolveu.
28;4;Resolveram rápido.
27;1;Aguardando retorno.
26;5;Perfeito.
25;3;Precisei ligar duas vezes.
24;4;Bom trabalho.
23;2;Problema reapareceu.
22;5;Muito bom!
21;2;Ainda não funciona.
20;4;Suporte técnico eficiente.
19;1;Sem resolução.
18;3;Foi feito algo, mas não sei o quê.
17;5;Excelente.
16;4;Funcionando normalmente agora.
15;2;Falta comunicação.
14;5;Resolveram prontamente.
13;1;Nada mudou.
12;4;Funcionando melhor.
11;2;Problema intermitente.
10;5;Perfeito.
9;3;Foi útil.
8;4;Bom atendimento.
7;1;Sem solução até o momento.
6;5;Tudo certo agora.
5;5;Muito rápido.
4;2;Voltou a apresentar erro.
3;4;Resolveram.
2;1;Problema recorrente.
1;2;Ainda não solucionado.